lot,year,district,ID,wenbao_id,original_name_cn,name_en,tmarker,year_built,current_use,address,protection_level,
1,1989,黄浦,1A001,,亚西亚大楼,Asia Building,o,1915,"中国太平洋保险公司
 上海银行",中山东一路1号,,
1,1989,黄浦,1A002,,上海总会,The Shanghai Club building,o,1911,上海外滩华尔道夫酒店,中山东一路2号,,
1,1989,黄浦,1A003,,汇丰银行大楼,HSBC,o,1923,浦东发展银行,中山东一路10-12号,,
1,1989,黄浦,1A004,,江海关,Custom House,o,1927,上海海关,中山东一路13号,,
1,1989,黄浦,1A005,,汇中饭店,Palace Hotel,o,1906,和平饭店南楼,中山东一路19号,,
1,1989,黄浦,1A006,,沙逊大厦,Sassoon House,o,1929,和平饭店北楼,中山东一路20号,,
1,1989,黄浦,1A007,,中国银行,Bank of China,o,1937,中国银行上海分行,中山东一路23号,,
1,1989,黄浦,1A008,,怡和银行,Jardine Matheson,o,1853,罗斯福公馆,中山东一路27号,,
1,1989,黄浦,1A009,,东方汇理银行,Banque de l'Indochine,o,1926,光大银行,中山东一路29号,,
1,1989,黄浦,1A010,HP_C03,大世界游乐场,Great World,o,1924,大世界游乐场,西藏南路1号,,
1,1989,黄浦,1A011,HP_C06,八仙桥基督教青年会,Chinese YMCA Shanghai,o,1929,青年会宾馆,西藏南路123号,,
1,1989,黄浦,1A012,HP_C16,南京大戏院,Nanking Theatre,o,1930,上海音乐厅,延安东路523号,,
1,1989,黄浦,1A013,HP_N06,四行储蓄会大楼,The Park Hotel,o,1934,国际饭店,南京西路170号,,
1,1989,黄浦,1A014,HP_C15,西侨青年会大楼,Foreign YMCA Building,o,1932,上海市体育总会，市体委,南京西路150号,,
1,1989,黄浦,1A015,HP_C13,华安人寿保险公司,Pacific Hotel,o,1933,金门大酒店,南京西路104号,,
1,1989,黄浦,1A016,HP_C18,大光明大戏院,Grand Cinema,o,1933,大光明电影院,南京西路216号,,
1,1989,黄浦,1A017,HP_C19,跑马总会,Shanghai Race Club,o,1933,上海美术馆,南京西路325号,,
1,1989,黄浦,1A018,HP_C21,基督教慕尔堂,Shanghai Christian Church Moore Memorial Church,o,1930,沐恩堂,西藏中路316号,,
1,1989,黄浦,1A019,HP_C12,老、新永安公司,Wing On Department Store,o,"1918, 1933",华侨商店、华联商厦,南京东路627-635号,,
1,1989,黄浦,1A020,HP_C11,先施公司,Sincere Department Store,o,1917,时装公司、东亚饭店,南京东路690号,,
